Cryptocurrency,Currency,Price,Market Cap,Volume (24h),Change (24h),Change (%),Last Update
BTC,USD,66409.9181486408,1313059558031.6519,32216.30539073,-1281.727129043793,-1.893479060504281,2024-10-24 03:49:15
BTC,EUR,61623.7010111197,1218426281339.8992,1616.93181163,-1067.364459487595,-1.7025782724781235,2024-10-24 03:49:12
BTC,GBP,51438.3757608689,1017041623078.9303,283.70847554,-707.419639748703,-1.3566187538493746,2024-10-24 03:48:59
BTC,AUD,100058.354763175,1978357792711.6865,78.91314379,-1364.5086784430023,-1.3453659580696555,2024-10-24 03:47:12
ETH,USD,2505.60304430525,301660812799.6788,542528.77938194,-129.02660297965986,-4.897333601048135,2024-10-24 03:49:15
ETH,EUR,2324.77753132629,279890416509.60046,14286.80486214,-115.19273470411008,-4.721071248606554,2024-10-24 03:49:07
ETH,GBP,1941.66525922805,233765808041.64905,2215.03576661,-87.88493499960009,-4.3302666398475,2024-10-24 03:47:32
ETH,AUD,3779.00499533513,454971397427.7729,522.178207957,-167.65126559279997,-4.247931780949734,2024-10-24 03:45:43
LTC,USD,69.6672617836548,5233136624.413296,193204.78512205,-0.36222546684700774,-0.5172470641564096,2024-10-24 03:49:18
LTC,EUR,64.58714759350634,4851537994.812716,667900.95471608,-0.23415601109023498,-0.3612331102110551,2024-10-24 03:49:15
LTC,GBP,53.91817110291393,4050125535.2372932,667900.95471608,-0.021416734867585774,-0.039705039890172475,2024-10-24 03:49:15
LTC,AUD,104.9493639531692,7883392373.274902,77395.58178229,0.06035431496769661,0.05754112387549423,2024-10-24 03:49:06
XRP,USD,0.524138274954529,52407074047.68362,92338299.0249778,-0.010472130261337975,-1.9588339768863083,2024-10-24 03:49:13
XRP,EUR,0.4860280987582995,48596547472.30741,393541990.49497,-0.008864833082734391,-1.7912628191630535,2024-10-24 03:49:13
XRP,GBP,0.4057424296642679,40569015032.430244,393541990.49497,-0.00607157719633683,-1.4743493652929596,2024-10-24 03:49:13
XRP,AUD,0.787382767886618,78728131472.71855,6093918.10204246,-0.013118344382878067,-1.6387665403345069,2024-10-24 03:40:23
DOT,USD,4.18508354920619,6318203763.341131,1030159.98583398,-0.15425901475409987,-3.5548936844782255,2024-10-24 03:49:06
DOT,EUR,3.881758929549526,5860275807.806705,6473692.68466393,-0.13579437896922908,-3.380026810877478,2024-10-24 03:49:18
DOT,GBP,3.240541654834721,4892232673.042797,6473692.68466393,-0.10257484432883901,-3.0682401990628505,2024-10-24 03:49:18
DOT,AUD,6.304264959943111,9517523396.293318,6473692.68466393,-0.18742363689018493,-2.887132278366092,2024-10-24 03:49:18
ADA,USD,0.348761422477671,15694264011.495195,31340277.0268679,-0.016752960377093007,-4.583392928685311,2024-10-24 03:49:11
ADA,EUR,0.3233514637653016,14550815869.438572,178196771.023536,-0.01499561015929557,-4.432020051291307,2024-10-24 03:49:11
ADA,GBP,0.2699379086904913,12147205891.072107,178196771.023536,-0.011609988354856104,-4.123628155882175,2024-10-24 03:49:11
ADA,AUD,0.5251468058060138,23631606261.27062,178196771.023536,-0.021565004317554703,-3.944492128801928,2024-10-24 03:49:11
SOL,USD,170.656268593842,100196947080.28781,1435245.41992242,1.7592361719899827,1.0416027722713095,2024-10-24 03:49:13
SOL,EUR,158.393222811749,92996978632.62509,148521.88136869,2.001568838599013,1.2798437689920787,2024-10-24 03:49:09
SOL,GBP,132.280339304417,77665392934.32935,27282.1602857,2.0903372818380035,1.6056050767058703,2024-10-24 03:48:48
SOL,AUD,257.2157184318407,151018359538.08804,596010.77697207,4.125898981848081,1.6302113576967912,2024-10-24 03:49:13
BNB,USD,581.8961395605082,82666930924.1287,256398.924586,-13.224633462481847,-2.2221764156047983,2024-10-24 03:49:11
BNB,EUR,539.7417724028733,76678281196.01306,256398.924586,-11.175675510673273,-2.028557191825776,2024-10-24 03:49:11
BNB,GBP,450.5832866155879,64012002998.250565,256398.924586,-7.850259466196633,-1.7124094720581697,2024-10-24 03:49:11
BNB,AUD,876.809267482146,124563691388.85703,19402.705,-14.797183535348609,-1.6596092949374888,2024-10-24 03:49:17
MATIC,USD,0.353840685328658,3528482000.964722,6543827.97334142,-0.013175776460203015,-3.589968797580213,2024-10-24 03:49:16
MATIC,EUR,0.32827516716267,3273543904.713191,649283.38035991,-0.011389680710716,-3.3532114912761397,2024-10-24 03:48:32
MATIC,GBP,0.273818908702056,2730508759.843724,100262.66943712,-0.007809828448908984,-2.7730935869383897,2024-10-24 03:30:04
MATIC,AUD,0.5328163649868346,5313218721.38379,303040.25857268,-0.016672883660626137,-3.034251116225763,2024-10-24 03:48:41
