Cryptocurrency,Currency,Price,Market Cap,Volume (24h),Change (24h),Change (%),Last Update
BTC,USD,69128.3738956276,1366966655620.161,30848.8499104,1443.9820530381112,2.133404783182974,2024-10-28 23:10:09
BTC,EUR,63860.5403554056,1262798824221.2444,1446.15546247,1220.404745333406,1.9482792197805707,2024-10-28 23:10:12
BTC,GBP,53227.2267751792,1052532268192.1882,338.85061558,1081.195326062305,2.073399060324111,2024-10-28 23:10:05
BTC,AUD,104820.134453118,2072746985939.1147,83.31198384,2313.615010812995,2.2570418188037253,2024-10-28 23:07:59
ETH,USD,2509.6395089578,302168831782.24054,453634.40661959,10.749271003020112,0.4301617910123923,2024-10-28 23:10:09
ETH,EUR,2319.64536201605,279292913060.87274,11269.66217022,6.239263133280019,0.26970029759553205,2024-10-28 23:10:15
ETH,GBP,1931.74640223853,232588605487.15482,2043.16774143,5.748678609500075,0.29847795451534703,2024-10-28 23:09:54
ETH,AUD,3794.57873465847,456879730839.766,599.822806494,19.47037788150965,0.5157567953395832,2024-10-28 23:03:21
LTC,USD,70.0987784002709,5266730342.234374,149890.82652102,-0.4915154737881977,-0.6962932817153527,2024-10-28 23:10:03
LTC,EUR,64.7805013264933,4867152320.019286,570537.6030543,-0.6729063563408602,-1.028069248283519,2024-10-28 23:10:07
LTC,GBP,53.97108314321214,4055008484.8912435,570537.6030543,-0.5034924744259115,-0.9242705770853004,2024-10-28 23:10:07
LTC,AUD,106.3183668877632,7988016076.788363,75386.23034547,-0.788388949756694,-0.7360777045219014,2024-10-28 23:09:55
XRP,USD,0.515413145064665,51534649328.505615,63531996.3845757,0.000138374699466981,0.02685454585112109,2024-10-28 23:09:55
XRP,EUR,0.4762352358218969,47617365041.94215,282479680.02228,-0.0008227208522234575,-0.1724572121088131,2024-10-28 23:10:06
XRP,GBP,0.3967695677242175,39671825859.86419,282479680.02228,-0.00026903813061207593,-0.06776120171811331,2024-10-28 23:10:06
XRP,AUD,0.78229894373026,78219777902.91168,2277544.65882614,0.00017205484183901998,0.02199832844048474,2024-10-28 23:04:33
DOT,USD,4.0657126167168,6145039142.696179,1641418.3091124,-0.025259828637009818,-0.6174529155212927,2024-10-28 23:10:08
DOT,EUR,3.756775064450024,5678101724.758083,7475863.81521348,-0.0368396385041847,-0.9710959438104375,2024-10-28 23:10:15
DOT,GBP,3.12991124183932,4730641072.658763,7475863.81521348,-0.02738122491272188,-0.8672375207891143,2024-10-28 23:10:15
DOT,AUD,6.170796248522223,9326725241.931465,7475863.81521348,-0.0352030775358072,-0.5672426902786619,2024-10-28 23:10:15
ADA,USD,0.336238026838159,15130711207.717155,18820714.1037027,-0.005041899709084974,-1.4773502092825301,2024-10-28 23:10:09
ADA,EUR,0.3106605351607171,13979724082.232271,135948679.94021,-0.00444774925791136,-1.411498674532601,2024-10-28 23:10:08
ADA,GBP,0.2588230289847536,11647036304.313913,135948679.94021,-0.003430544587529172,-1.3081021321464048,2024-10-28 23:10:08
ADA,AUD,0.5102841751358099,22962787881.111446,135948679.94021,-0.005203546696998185,-1.0094414428528113,2024-10-28 23:10:08
SOL,USD,175.436450385412,103051132114.27095,1207371.89690514,-1.0069802299429966,-0.5707099586712321,2024-10-28 23:10:10
SOL,EUR,162.152640086344,95248240029.4001,114295.75295184,-0.8261834796240066,-0.5069268887498117,2024-10-28 23:09:36
SOL,GBP,135.166858787874,79396828833.57317,17239.25504825,-0.3925496640910069,-0.28957758710647186,2024-10-28 23:09:55
SOL,AUD,266.1011701187562,156307465053.17032,378561.58618368,-0.47193435772226167,-0.17703749920649012,2024-10-28 23:10:04
BNB,USD,592.5521668684885,84180776804.01329,172355.063048,5.742482695655326,0.978593716248894,2024-10-28 23:10:06
BNB,EUR,547.7030444828723,77809297341.95717,172355.063048,4.448888921575531,0.8189332517813664,2024-10-28 23:10:06
BNB,GBP,456.3120992625958,64825865347.8533,172355.063048,4.180718722096003,0.9246690015406959,2024-10-28 23:10:06
BNB,AUD,898.7263509500843,127677336422.60971,25701.89,9.27800299618832,1.0431188070146642,2024-10-28 23:10:11
MATIC,USD,0.318483790735159,3175904778.0620174,5462853.41980123,-0.012320184521944,-3.7243157408760497,2024-10-28 23:09:52
MATIC,EUR,0.294353277939312,2935276485.147904,1027174.48797847,-0.011003274211343006,-3.603418408364225,2024-10-28 23:09:50
MATIC,GBP,0.243676694490851,2429932074.5632477,46517.42067401,-0.010024646331926013,-3.9513572531446437,2024-10-28 23:00:06
MATIC,AUD,0.4811595368179162,4798099358.409297,257055.58628679,-0.021170547545979412,-4.214469370829708,2024-10-28 23:02:55
